country,capital,lat,long,population
China,Beijing,39.9075,116.39723,1371220000
India,New Delhi,28.63576,77.22445,1311051000
United States,"Washington, D.C.",38.89511,-77.03637,321419000
Indonesia,Jakarta,-6.21462,106.84513,257564000
Brazil,Brasília,-15.77972,-47.92972,207848000
Pakistan,Islamabad,33.72148,73.04329,188925000
Nigeria,Abuja,9.05785,7.49508,182202000
Bangladesh,Dhaka,23.7104,90.40744,160996000
Mexico,Mexico City,19.42847,-99.12766,127017000
Japan,Tokyo,35.6895,139.69171,126958000
Philippines,Manila,14.6042,120.9822,100699000
Ethiopia,Addis Ababa,9.02497,38.74689,99391000
Vietnam,Hanoi,21.0245,105.84117,91704000
Germany,Berlin,52.52437,13.41053,81413000
Turkey,Ankara,39.91987,32.85427,78666000
Thailand,Bangkok,13.75398,100.50144,67959000
France,Paris,48.85341,2.3488,66808000
United Kingdom,London,51.50853,-0.12574,65138000
Italy,Rome,41.89193,12.51133,60802000
South Africa,Pretoria,-25.74486,28.18783,54957000
Tanzania,Dodoma,-6.17221,35.73947,53470000
Colombia,Bogotá,4.60971,-74.08175,48229000
Spain,Madrid,40.4165,-3.70256,46418000
Kenya,Nairobi,-1.28333,36.81667,46050000
Ukraine,Kiev,50.45466,30.5238,45198000
Argentina,Buenos Aires,-34.61315,-58.37723,43417000
Sudan,Khartoum,15.55177,32.53241,40235000
Algeria,Algiers,36.7525,3.04197,39667000
Uganda,Kampala,0.31628,32.58219,39032000
Poland,Warsaw,52.22977,21.01178,37999000
Iraq,Baghdad,33.34058,44.40088,36423000
Canada,Ottawa,45.41117,-75.69812,35852000
Morocco,Rabat,34.01325,-6.83255,34378000
Afghanistan,Kabul,34.52813,69.17233,32527000
Saudi Arabia,Riyadh,24.68773,46.72185,31540000
Peru,Lima,-12.04318,-77.02824,31377000
Uzbekistan,Tashkent,41.26465,69.21627,31300000
Malaysia,Kuala Lumpur,3.1412,101.68653,30331000
Nepal,Kathmandu,27.70169,85.3206,28514000
Mozambique,Maputo,-25.96553,32.58322,27978000
Ghana,Accra,5.55602,-0.1969,27410000
Angola,Luanda,-8.83682,13.23432,25022000
Madagascar,Antananarivo,-18.91368,47.53613,24235000
Australia,Canberra,-35.28346,149.12807,23781000
Cameroon,Yaoundé,3.86667,11.51667,23344000
Sri Lanka,Colombo,6.93194,79.84778,20966000
Niger,Niamey,13.51366,2.1098,19899000
